CFSAUID,PRUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies,covid_pharms
B0S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1X,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1Y,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1B,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
A0A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0B,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0C,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0E,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0G,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0J,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0K,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0L,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0M,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0P,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0R,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1B,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1C,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1E,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1G,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1K,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1L,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1M,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1S,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1V,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1W,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1X,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1Y,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2V,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A5A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A8A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
B0C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
E2V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3Y,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3Z,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
B2A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2Z,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2X,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2Y,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3B,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3Z,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4B,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B4V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B5A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B6L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B9A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
C0A,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
C0B,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
E3L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
C1A,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
C1B,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
C1C,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
C1E,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
C1N,"11",Prince Edward Island / Île-du-Prince-Édouard,"0","0",0.000
E1A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
G0C,"24",Quebec / Québec,"0","0",0.000
G0E,"24",Quebec / Québec,"0","0",0.000
G0G,"24",Quebec / Québec,"0","0",0.000
G0H,"24",Quebec / Québec,"0","0",0.000
G0J,"24",Quebec / Québec,"0","0",0.000
G0K,"24",Quebec / Québec,"0","0",0.000
G0L,"24",Quebec / Québec,"0","0",0.000
G0M,"24",Quebec / Québec,"0","0",0.000
G0N,"24",Quebec / Québec,"0","0",0.000
G0P,"24",Quebec / Québec,"0","0",0.000
G0R,"24",Quebec / Québec,"0","0",0.000
G0S,"24",Quebec / Québec,"0","0",0.000
G0T,"24",Quebec / Québec,"0","0",0.000
G0V,"24",Quebec / Québec,"0","0",0.000
G0W,"24",Quebec / Québec,"0","0",0.000
G0X,"24",Quebec / Québec,"0","0",0.000
G0Y,"24",Quebec / Québec,"0","0",0.000
G0Z,"24",Quebec / Québec,"0","0",0.000
G1B,"24",Quebec / Québec,"0","0",0.000
G1C,"24",Quebec / Québec,"0","0",0.000
G5V,"24",Quebec / Québec,"0","0",0.000
E1E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1W,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E1X,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2M,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2P,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E2S,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4W,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4X,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4Y,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4Z,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4M,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4P,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4R,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4S,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4T,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E4V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
G1P,"24",Quebec / Québec,"0","0",0.000
G1R,"24",Quebec / Québec,"0","0",0.000
G1S,"24",Quebec / Québec,"0","0",0.000
E5B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5M,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5P,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5R,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5S,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5T,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E5V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E6L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7M,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E7P,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8J,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8K,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8M,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9A,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8L,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8P,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8R,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8S,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E8T,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9B,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9C,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9E,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9G,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E9H,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
G0A,"24",Quebec / Québec,"0","0",0.000
G1E,"24",Quebec / Québec,"0","0",0.000
G1G,"24",Quebec / Québec,"0","0",0.000
G1H,"24",Quebec / Québec,"0","0",0.000
G1J,"24",Quebec / Québec,"0","0",0.000
G1K,"24",Quebec / Québec,"0","0",0.000
G5C,"24",Quebec / Québec,"0","0",0.000
G5H,"24",Quebec / Québec,"0","0",0.000
G5R,"24",Quebec / Québec,"0","0",0.000
G5T,"24",Quebec / Québec,"0","0",0.000
G1L,"24",Quebec / Québec,"0","0",0.000
G1M,"24",Quebec / Québec,"0","0",0.000
G1N,"24",Quebec / Québec,"0","0",0.000
G1T,"24",Quebec / Québec,"0","0",0.000
G1V,"24",Quebec / Québec,"0","0",0.000
G1W,"24",Quebec / Québec,"0","0",0.000
G2E,"24",Quebec / Québec,"0","0",0.000
G2G,"24",Quebec / Québec,"0","0",0.000
G2J,"24",Quebec / Québec,"0","0",0.000
G1X,"24",Quebec / Québec,"0","0",0.000
G1Y,"24",Quebec / Québec,"0","0",0.000
G2B,"24",Quebec / Québec,"0","0",0.000
G2C,"24",Quebec / Québec,"0","0",0.000
G6X,"24",Quebec / Québec,"0","0",0.000
G6Y,"24",Quebec / Québec,"0","0",0.000
G6Z,"24",Quebec / Québec,"0","0",0.000
G7A,"24",Quebec / Québec,"0","0",0.000
G2K,"24",Quebec / Québec,"0","0",0.000
G2L,"24",Quebec / Québec,"0","0",0.000
G2M,"24",Quebec / Québec,"0","0",0.000
G2N,"24",Quebec / Québec,"0","0",0.000
G3A,"24",Quebec / Québec,"0","0",0.000
G3B,"24",Quebec / Québec,"0","0",0.000
G3C,"24",Quebec / Québec,"0","0",0.000
G3E,"24",Quebec / Québec,"0","0",0.000
G3G,"24",Quebec / Québec,"0","0",0.000
G3H,"24",Quebec / Québec,"0","0",0.000
G3J,"24",Quebec / Québec,"0","0",0.000
G3K,"24",Quebec / Québec,"0","0",0.000
G3L,"24",Quebec / Québec,"0","0",0.000
G3M,"24",Quebec / Québec,"0","0",0.000
G3N,"24",Quebec / Québec,"0","0",0.000
G3Z,"24",Quebec / Québec,"0","0",0.000
G4A,"24",Quebec / Québec,"0","0",0.000
G4R,"24",Quebec / Québec,"0","0",0.000
G4S,"24",Quebec / Québec,"0","0",0.000
G4T,"24",Quebec / Québec,"0","0",0.000
G4V,"24",Quebec / Québec,"0","0",0.000
G4W,"24",Quebec / Québec,"0","0",0.000
G4X,"24",Quebec / Québec,"0","0",0.000
G4Z,"24",Quebec / Québec,"0","0",0.000
G5A,"24",Quebec / Québec,"0","0",0.000
G5B,"24",Quebec / Québec,"0","0",0.000
G5J,"24",Quebec / Québec,"0","0",0.000
G5L,"24",Quebec / Québec,"0","0",0.000
G5M,"24",Quebec / Québec,"0","0",0.000
